,index,Country,Correlation
0,157,Taiwan*,-0.95
1,108,Mexico,-0.92
2,34,China,-0.92
3,93,Latvia,-0.9
4,145,Singapore,-0.9
5,3,Andorra,-0.87
6,124,Oman,-0.86
7,78,Iran,-0.85
8,168,United Arab Emirates,-0.85
9,45,Diamond Princess,-0.85
10,58,Finland,-0.85
11,105,Malta,-0.84
12,84,Japan,-0.83
15,140,San Marino,-0.82
14,83,Jamaica,-0.82
13,98,Lithuania,-0.82
16,159,Thailand,-0.79
17,12,Bahrain,-0.79
18,10,Azerbaijan,-0.78
19,80,Ireland,-0.76
20,82,Italy,-0.74
21,2,Algeria,-0.74
22,173,Vietnam,-0.74
23,79,Iraq,-0.73
24,50,Egypt,-0.73
25,0,Afghanistan,-0.73
26,169,United Kingdom,-0.72
27,88,"Korea, South",-0.72
28,154,Sweden,-0.7
29,102,Malaysia,-0.69
30,21,Bosnia and Herzegovina,-0.68
31,77,Indonesia,-0.68
32,109,Moldova,-0.68
33,90,Kuwait,-0.68
34,43,Czechia,-0.67
35,76,India,-0.66
36,122,North Macedonia,-0.66
37,117,Netherlands,-0.66
38,142,Senegal,-0.65
39,121,Nigeria,-0.65
40,125,Pakistan,-0.64
41,134,Romania,-0.63
42,130,Philippines,-0.63
45,39,Cote d'Ivoire,-0.62
44,65,Greece,-0.62
43,22,Brazil,-0.62
46,135,Russia,-0.61
47,15,Belarus,-0.61
48,13,Bangladesh,-0.61
49,123,Norway,-0.6
50,161,Togo,-0.6
51,81,Israel,-0.6
52,141,Saudi Arabia,-0.6
53,174,West Bank and Gaza,-0.6
54,8,Australia,-0.6
55,131,Poland,-0.58
56,133,Qatar,-0.58
57,151,Sri Lanka,-0.58
60,150,Spain,-0.54
59,94,Lebanon,-0.54
58,116,Nepal,-0.54
61,113,Morocco,-0.53
62,74,Hungary,-0.52
63,110,Monaco,-0.52
64,49,Ecuador,-0.52
65,35,Colombia,-0.52
66,54,Estonia,-0.51
67,62,Georgia,-0.5
68,38,Costa Rica,-0.5
69,146,Slovakia,-0.5
70,165,US,-0.5
71,75,Iceland,-0.49
72,40,Croatia,-0.49
76,172,Venezuela,-0.47
75,132,Portugal,-0.47
74,163,Tunisia,-0.47
73,25,Burkina Faso,-0.47
77,16,Belgium,-0.46
78,59,France,-0.46
79,33,Chile,-0.45
80,28,Cambodia,-0.45
81,6,Argentina,-0.44
82,30,Canada,-0.44
83,7,Armenia,-0.43
84,44,Denmark,-0.42
85,24,Bulgaria,-0.42
86,48,Dominican Republic,-0.41
87,115,Namibia,-0.41
88,11,Bahamas,-0.41
89,63,Germany,-0.4
90,1,Albania,-0.39
91,143,Serbia,-0.39
92,103,Maldives,-0.39
93,23,Brunei,-0.38
94,118,New Zealand,-0.37
95,126,Panama,-0.37
96,42,Cyprus,-0.36
97,162,Trinidad and Tobago,-0.36
98,167,Ukraine,-0.35
99,67,Guatemala,-0.33
100,87,Kenya,-0.33
101,129,Peru,-0.33
102,147,Slovenia,-0.33
103,29,Cameroon,-0.33
109,164,Turkey,-0.32
108,149,South Africa,-0.32
107,85,Jordan,-0.32
104,9,Austria,-0.32
105,41,Cuba,-0.32
106,99,Luxembourg,-0.32
110,56,Ethiopia,-0.31
111,155,Switzerland,-0.28
112,86,Kazakhstan,-0.25
113,64,Ghana,-0.24
118,138,Saint Lucia,-0.19
114,158,Tanzania,-0.19
115,89,Kosovo,-0.19
116,171,Uzbekistan,-0.19
117,128,Paraguay,-0.19
119,37,Congo (Kinshasa),-0.19
