,Date,Total Cases,Daily Cases,Percent Change
0,2020-01-22,0,0,0.0
1,2020-01-23,0,0,0.0
2,2020-01-24,0,0,0.0
3,2020-01-25,0,0,0.0
4,2020-01-26,0,0,0.0
5,2020-01-27,0,0,0.0
6,2020-01-28,0,0,0.0
7,2020-01-29,0,0,0.0
8,2020-01-30,0,0,0.0
9,2020-01-31,0,0,0.0
10,2020-02-01,0,0,0.0
11,2020-02-02,0,0,0.0
12,2020-02-03,0,0,0.0
13,2020-02-04,0,0,0.0
14,2020-02-05,0,0,0.0
15,2020-02-06,0,0,0.0
16,2020-02-07,0,0,0.0
17,2020-02-08,0,0,0.0
18,2020-02-09,0,0,0.0
19,2020-02-10,0,0,0.0
20,2020-02-11,0,0,0.0
21,2020-02-12,0,0,0.0
22,2020-02-13,0,0,0.0
23,2020-02-14,0,0,0.0
24,2020-02-15,0,0,0.0
25,2020-02-16,0,0,0.0
26,2020-02-17,0,0,0.0
27,2020-02-18,0,0,0.0
28,2020-02-19,0,0,0.0
29,2020-02-20,0,0,0.0
30,2020-02-21,0,0,0.0
31,2020-02-22,1,1,0.0
32,2020-02-23,2,1,1.0
33,2020-02-24,1,-1,-0.5
34,2020-02-25,1,0,0.0
35,2020-02-26,3,2,2.0
36,2020-02-27,45,42,14.0
37,2020-02-28,46,1,0.022222222222222223
38,2020-02-29,46,0,0.0
39,2020-03-01,83,37,0.8043478260869565
40,2020-03-02,149,66,0.7951807228915663
41,2020-03-03,160,11,0.0738255033557047
42,2020-03-04,276,116,0.725
43,2020-03-05,414,138,0.5
44,2020-03-06,523,109,0.2632850241545894
45,2020-03-07,589,66,0.12619502868068833
46,2020-03-08,622,33,0.05602716468590832
47,2020-03-09,724,102,0.1639871382636656
48,2020-03-10,724,0,0.0
49,2020-03-11,1045,321,0.44337016574585636
50,2020-03-12,1045,0,0.0
51,2020-03-13,1439,394,0.3770334928229665
52,2020-03-14,1966,527,0.36622654621264766
53,2020-03-15,2335,369,0.18769074262461852
54,2020-03-16,2749,414,0.17730192719486082
55,2020-03-17,2941,192,0.06984357948344852
56,2020-03-18,4025,1084,0.36858211492689563
57,2020-03-19,4440,415,0.1031055900621118
58,2020-03-20,4440,0,0.0
59,2020-03-21,6072,1632,0.3675675675675676
60,2020-03-22,7024,952,0.15678524374176547
61,2020-03-23,7024,0,0.0
62,2020-03-24,8326,1302,0.1853644646924829
63,2020-03-25,9362,1036,0.12442949795820323
64,2020-03-26,10361,999,0.10670796838282419
65,2020-03-27,10950,589,0.05684779461441946
66,2020-03-28,12384,1434,0.13095890410958905
