,Date,Total Cases,Daily Cases,Percent Change
0,2020-01-22,1,0,0.0
1,2020-01-23,1,0,0.0
2,2020-01-24,2,1,1.0
3,2020-01-25,2,0,0.0
4,2020-01-26,5,3,1.5
5,2020-01-27,5,0,0.0
6,2020-01-28,5,0,0.0
7,2020-01-29,5,0,0.0
8,2020-01-30,5,0,0.0
9,2020-01-31,7,2,0.4
10,2020-02-01,8,1,0.14285714285714285
11,2020-02-02,8,0,0.0
12,2020-02-03,11,3,0.375
13,2020-02-04,11,0,0.0
14,2020-02-05,11,0,0.0
15,2020-02-06,11,0,0.0
16,2020-02-07,11,0,0.0
17,2020-02-08,11,0,0.0
18,2020-02-09,11,0,0.0
19,2020-02-10,11,0,0.0
20,2020-02-11,12,1,0.09090909090909091
21,2020-02-12,12,0,0.0
22,2020-02-13,13,1,0.08333333333333333
23,2020-02-14,13,0,0.0
24,2020-02-15,13,0,0.0
25,2020-02-16,13,0,0.0
26,2020-02-17,13,0,0.0
27,2020-02-18,13,0,0.0
28,2020-02-19,13,0,0.0
29,2020-02-20,13,0,0.0
30,2020-02-21,15,2,0.15384615384615385
31,2020-02-22,15,0,0.0
32,2020-02-23,15,0,0.0
33,2020-02-24,51,36,2.4
34,2020-02-25,51,0,0.0
35,2020-02-26,57,6,0.11764705882352941
36,2020-02-27,58,1,0.017543859649122806
37,2020-02-28,60,2,0.034482758620689655
38,2020-02-29,68,8,0.13333333333333333
39,2020-03-01,74,6,0.08823529411764706
40,2020-03-02,98,24,0.32432432432432434
41,2020-03-03,118,20,0.20408163265306123
42,2020-03-04,149,31,0.2627118644067797
43,2020-03-05,217,68,0.4563758389261745
44,2020-03-06,262,45,0.2073732718894009
45,2020-03-07,402,140,0.5343511450381679
46,2020-03-08,518,116,0.2885572139303483
47,2020-03-09,583,65,0.12548262548262548
48,2020-03-10,959,376,0.6449399656946827
49,2020-03-11,1281,322,0.3357664233576642
50,2020-03-12,1663,382,0.29820452771272443
51,2020-03-13,2179,516,0.31028262176788934
52,2020-03-14,2727,548,0.25149150986691143
53,2020-03-15,3499,772,0.2830949761642831
54,2020-03-16,4632,1133,0.3238068019434124
55,2020-03-17,6421,1789,0.38622625215889467
56,2020-03-18,7783,1362,0.21211649275813735
57,2020-03-19,13677,5894,0.7572915328279584
58,2020-03-20,19100,5423,0.396505081523726
59,2020-03-21,25489,6389,0.3345026178010471
60,2020-03-22,33276,7787,0.3055043352034211
61,2020-03-23,43847,10571,0.3176764034138719
62,2020-03-24,53740,9893,0.22562547038565922
63,2020-03-25,65778,12038,0.22400446594715295
64,2020-03-26,83836,18058,0.2745294779409529
65,2020-03-27,101657,17821,0.21256977909251396
66,2020-03-28,121478,19821,0.1949791947431067
