,Date,US,Daily,Percent Change
0,2020-01-22,0,0,0.0
1,2020-01-23,0,0,0.0
2,2020-01-24,0,0,0.0
3,2020-01-25,0,0,0.0
4,2020-01-26,0,0,0.0
5,2020-01-27,0,0,0.0
6,2020-01-28,0,0,0.0
7,2020-01-29,0,0,0.0
8,2020-01-30,0,0,0.0
9,2020-01-31,0,0,0.0
10,2020-02-01,0,0,0.0
11,2020-02-02,0,0,0.0
12,2020-02-03,0,0,0.0
13,2020-02-04,0,0,0.0
14,2020-02-05,0,0,0.0
15,2020-02-06,0,0,0.0
16,2020-02-07,0,0,0.0
17,2020-02-08,0,0,0.0
18,2020-02-09,0,0,0.0
19,2020-02-10,0,0,0.0
20,2020-02-11,0,0,0.0
21,2020-02-12,0,0,0.0
22,2020-02-13,0,0,0.0
23,2020-02-14,0,0,0.0
24,2020-02-15,0,0,0.0
25,2020-02-16,0,0,0.0
26,2020-02-17,0,0,0.0
27,2020-02-18,0,0,0.0
28,2020-02-19,0,0,0.0
29,2020-02-20,0,0,0.0
30,2020-02-21,0,0,0.0
31,2020-02-22,0,0,0.0
32,2020-02-23,0,0,0.0
33,2020-02-24,0,0,0.0
34,2020-02-25,0,0,0.0
35,2020-02-26,0,0,0.0
36,2020-02-27,0,0,0.0
37,2020-02-28,0,0,0.0
38,2020-02-29,1,1,0.0
39,2020-03-01,1,0,0.0
40,2020-03-02,6,5,5.0
41,2020-03-03,7,1,0.16666666666666666
42,2020-03-04,11,4,0.5714285714285714
43,2020-03-05,12,1,0.09090909090909091
44,2020-03-06,14,2,0.16666666666666666
45,2020-03-07,17,3,0.21428571428571427
46,2020-03-08,21,4,0.23529411764705882
47,2020-03-09,22,1,0.047619047619047616
48,2020-03-10,28,6,0.2727272727272727
49,2020-03-11,36,8,0.2857142857142857
50,2020-03-12,40,4,0.1111111111111111
51,2020-03-13,47,7,0.175
52,2020-03-14,54,7,0.14893617021276595
53,2020-03-15,63,9,0.16666666666666666
54,2020-03-16,85,22,0.3492063492063492
55,2020-03-17,108,23,0.27058823529411763
56,2020-03-18,118,10,0.09259259259259259
57,2020-03-19,200,82,0.6949152542372882
58,2020-03-20,244,44,0.22
59,2020-03-21,307,63,0.2581967213114754
60,2020-03-22,417,110,0.3583061889250814
61,2020-03-23,557,140,0.33573141486810554
62,2020-03-24,706,149,0.26750448833034113
63,2020-03-25,942,236,0.3342776203966006
64,2020-03-26,1209,267,0.28343949044585987
65,2020-03-27,1581,372,0.3076923076923077
66,2020-03-28,2026,445,0.2814674256799494
