"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2020","18,306.22","18,536.84","18,770.46","18,125.48","744.86M","-2.89%"
"Mar 26, 2020","18,850.84","18,328.17","18,850.84","18,289.60","849.58M","0.94%"
"Mar 25, 2020","18,675.86","18,741.09","19,334.42","18,036.00","1.17B","1.48%"
"Mar 24, 2020","18,403.36","17,462.88","18,403.36","17,462.88","1.09B","8.33%"
"Mar 23, 2020","16,988.54","16,733.23","17,217.80","16,509.50","959.76M","-1.07%"
"Mar 20, 2020","17,171.55","17,209.93","17,628.87","17,047.73","1.50B","1.85%"
"Mar 19, 2020","16,859.82","16,814.38","17,240.13","16,438.49","1.27B","2.27%"
"Mar 18, 2020","16,486.21","16,372.27","16,785.57","16,149.48","992.76M","-1.17%"
"Mar 17, 2020","16,680.56","16,850.34","17,238.59","16,065.72","1.40B","1.96%"
"Mar 16, 2020","16,360.04","17,130.96","17,130.96","15,498.19","1.54B","-6.06%"
"Mar 13, 2020","17,415.07","16,562.71","19,056.77","16,562.71","1.75B","6.93%"
"Mar 12, 2020","16,286.37","19,128.70","19,128.70","16,286.37","1.91B","-16.40%"
"Mar 11, 2020","19,480.78","19,769.55","19,998.61","19,226.41","1.20B","0.22%"
"Mar 10, 2020","19,438.13","20,294.57","20,826.86","19,363.45","1.46B","-3.32%"
"Mar 09, 2020","20,105.88","22,428.56","22,428.56","19,966.63","1.64B","-10.75%"
"Mar 06, 2020","22,526.70","22,730.62","22,889.48","22,335.89","1.27B","-3.40%"
"Mar 05, 2020","23,320.20","23,868.41","23,890.51","23,133.00","1.05B","-1.92%"
"Mar 04, 2020","23,777.79","23,619.02","24,074.98","23,360.18","1.06B","0.64%"
"Mar 03, 2020","23,625.54","24,002.98","24,239.60","23,546.66","1.04B","0.47%"
"Mar 02, 2020","23,514.49","24,273.12","24,297.15","22,968.63","1.23B","-1.64%"
"Feb 28, 2020","23,907.05","23,986.20","24,274.77","23,629.09","1.32B","-3.47%"
"Feb 27, 2020","24,767.22","24,984.06","25,073.31","24,432.70","991.50M","-2.67%"
"Feb 26, 2020","25,445.97","24,961.41","25,620.48","24,611.58","981.40M","1.40%"
"Feb 25, 2020","25,094.36","25,602.27","25,650.56","25,042.36","910.20M","-1.34%"
"Feb 24, 2020","25,434.49","25,952.55","26,017.68","25,260.93","1.40B","-5.50%"
"Feb 21, 2020","26,915.99","27,156.59","27,295.48","26,816.93","932.11M","-1.24%"
"Feb 20, 2020","27,255.25","27,618.73","27,622.87","27,255.25","1.00B","-1.52%"
"Feb 19, 2020","27,675.06","27,531.98","27,679.37","27,455.98","718.51M","1.02%"
"Feb 18, 2020","27,394.27","27,163.81","27,567.78","27,156.07","1.13B","0.36%"
"Feb 17, 2020","27,294.70","27,109.37","27,294.70","27,052.84","608.28M","1.09%"
"Feb 14, 2020","27,000.45","27,065.47","27,116.91","26,972.26","594.87M","-0.02%"
"Feb 13, 2020","27,004.71","26,885.92","27,004.71","26,690.45","735.62M","0.10%"
"Feb 12, 2020","26,977.06","26,834.79","27,007.52","26,834.79","687.17M","0.71%"
"Feb 11, 2020","26,786.60","26,695.66","26,857.13","26,613.20","668.93M","0.79%"
"Feb 10, 2020","26,575.50","26,514.40","26,667.70","26,469.07","571.77M","0.08%"
"Feb 07, 2020","26,553.56","26,560.65","26,615.05","26,441.15","663.48M","-0.11%"
"Feb 06, 2020","26,582.33","26,453.25","26,610.84","26,442.53","859.07M","0.94%"
"Feb 05, 2020","26,333.48","25,908.10","26,375.98","25,827.41","713.28M","1.55%"
"Feb 04, 2020","25,932.51","25,651.09","25,992.32","25,617.62","671.78M","1.62%"
"Feb 03, 2020","25,518.21","25,348.79","25,527.07","25,272.73","504.96M","0.89%"
"Jan 31, 2020","25,293.57","25,957.11","25,960.90","25,270.82","852.46M","-2.24%"
"Jan 30, 2020","25,873.17","26,007.38","26,094.14","25,782.49","649.28M","-1.58%"
"Jan 29, 2020","26,287.60","26,164.04","26,314.88","26,081.82","589.44M","0.60%"
"Jan 28, 2020","26,130.14","25,647.19","26,130.14","25,535.53","651.66M","2.43%"
"Jan 27, 2020","25,510.26","25,839.06","26,098.22","25,480.88","698.86M","-2.32%"
"Jan 24, 2020","26,115.61","25,999.90","26,237.24","25,999.90","592.27M","1.01%"
"Jan 23, 2020","25,854.82","25,879.16","26,055.31","25,763.60","550.48M","-0.06%"
"Jan 22, 2020","25,870.59","26,062.74","26,076.78","25,844.68","622.19M","-0.55%"
"Jan 21, 2020","26,014.82","26,037.48","26,037.48","25,808.47","533.93M","-0.65%"
"Jan 20, 2020","26,184.78","26,202.15","26,265.83","26,147.13","455.53M","-0.44%"
"Jan 17, 2020","26,300.93","26,188.38","26,326.24","26,167.59","563.35M","0.83%"
