,Date,Total Cases,Daily Cases,Percent Change
0,2020-01-22,28,0,0.0
1,2020-01-23,30,2,0.07142857142857142
2,2020-01-24,36,6,0.2
3,2020-01-25,39,3,0.08333333333333333
4,2020-01-26,49,10,0.2564102564102564
5,2020-01-27,58,9,0.1836734693877551
6,2020-01-28,101,43,0.7413793103448276
7,2020-01-29,120,19,0.18811881188118812
8,2020-01-30,135,15,0.125
9,2020-01-31,214,79,0.5851851851851851
10,2020-02-01,275,61,0.2850467289719626
11,2020-02-02,463,188,0.6836363636363636
12,2020-02-03,614,151,0.326133909287257
13,2020-02-04,843,229,0.3729641693811075
14,2020-02-05,1115,272,0.32265717674970346
15,2020-02-06,1477,362,0.32466367713004485
16,2020-02-07,1999,522,0.35341909275558564
17,2020-02-08,2596,597,0.2986493246623312
18,2020-02-09,3219,623,0.23998459167950692
19,2020-02-10,3918,699,0.21714818266542404
20,2020-02-11,4636,718,0.183256763654926
21,2020-02-12,5082,446,0.09620362381363244
22,2020-02-13,6217,1135,0.22333726879181426
23,2020-02-14,7977,1760,0.28309474022840597
24,2020-02-15,9298,1321,0.1656011031716184
25,2020-02-16,10755,1457,0.15670036567003656
26,2020-02-17,12462,1707,0.1587168758716876
27,2020-02-18,14206,1744,0.13994543411972396
28,2020-02-19,15962,1756,0.12360974236238209
29,2020-02-20,18014,2052,0.12855531888234556
30,2020-02-21,18704,690,0.03830354168979683
31,2020-02-22,22699,3995,0.21359067579127458
32,2020-02-23,23187,488,0.021498744438080974
33,2020-02-24,25015,1828,0.0788372795100703
34,2020-02-25,27676,2661,0.10637617429542275
35,2020-02-26,30084,2408,0.08700679288914583
36,2020-02-27,32930,2846,0.09460178167796836
37,2020-02-28,36329,3399,0.10321894928636502
38,2020-02-29,39320,2991,0.08233092020149192
39,2020-03-01,42162,2842,0.07227873855544252
40,2020-03-02,44854,2692,0.06384896352165458
41,2020-03-03,47450,2596,0.057876666518036295
42,2020-03-04,50001,2551,0.05376185458377239
43,2020-03-05,52292,2291,0.045819083618327636
44,2020-03-06,53944,1652,0.03159183049032357
45,2020-03-07,55539,1595,0.029567699836867863
46,2020-03-08,57388,1849,0.03329192099245575
47,2020-03-09,58804,1416,0.02467414790548547
48,2020-03-10,60181,1377,0.023416774369090537
49,2020-03-11,61644,1463,0.02430999817218059
50,2020-03-12,62901,1257,0.02039127895658945
51,2020-03-13,64196,1295,0.020587907982385016
52,2020-03-14,65660,1464,0.022805159199950152
53,2020-03-15,67017,1357,0.02066707279926896
54,2020-03-16,67910,893,0.013324977244579733
55,2020-03-17,68798,888,0.01307613017228685
56,2020-03-18,69755,957,0.013910288089770052
57,2020-03-19,70535,780,0.011181994122285141
58,2020-03-20,71266,731,0.010363649252144325
59,2020-03-21,71857,591,0.008292874582549884
60,2020-03-22,72362,505,0.007027846973850843
61,2020-03-23,72814,452,0.006246372405406152
62,2020-03-24,73280,466,0.006399868157222512
63,2020-03-25,73773,493,0.006727620087336244
64,2020-03-26,74181,408,0.005530478630393233
65,2020-03-27,74720,539,0.007266011512381877
66,2020-03-28,75100,380,0.005085653104925054
