,index,Country,Correlation
0,88,"Korea, South",-0.94
1,84,Japan,-0.92
2,103,Maldives,-0.92
3,90,Kuwait,-0.92
4,133,Qatar,-0.9
5,12,Bahrain,-0.89
6,78,Iran,-0.88
7,140,San Marino,-0.87
8,174,West Bank and Gaza,-0.86
9,19,Bhutan,-0.85
10,44,Denmark,-0.84
11,62,Georgia,-0.84
12,139,Saint Vincent and the Grenadines,-0.82
13,15,Belarus,-0.82
14,145,Singapore,-0.81
15,154,Sweden,-0.81
16,123,Norway,-0.81
17,173,Vietnam,-0.81
18,23,Brunei,-0.81
22,147,Slovenia,-0.8
21,79,Iraq,-0.8
19,138,Saint Lucia,-0.8
20,82,Italy,-0.8
23,65,Greece,-0.79
24,144,Seychelles,-0.79
25,83,Jamaica,-0.79
26,50,Egypt,-0.78
27,94,Lebanon,-0.77
28,152,Sudan,-0.77
32,111,Mongolia,-0.76
31,157,Taiwan*,-0.76
30,54,Estonia,-0.76
29,95,Liberia,-0.76
33,56,Ethiopia,-0.75
34,168,United Arab Emirates,-0.75
35,151,Sri Lanka,-0.75
36,70,Guyana,-0.75
37,146,Slovakia,-0.75
38,102,Malaysia,-0.75
41,106,Mauritania,-0.74
42,124,Oman,-0.74
39,75,Iceland,-0.74
40,58,Finland,-0.74
44,1,Albania,-0.73
45,31,Central African Republic,-0.73
43,36,Congo (Brazzaville),-0.73
46,42,Cyprus,-0.72
47,13,Bangladesh,-0.71
48,59,France,-0.71
49,105,Malta,-0.71
50,97,Liechtenstein,-0.7
51,24,Bulgaria,-0.7
52,28,Cambodia,-0.7
53,155,Switzerland,-0.7
56,7,Armenia,-0.69
58,117,Netherlands,-0.69
57,142,Senegal,-0.69
55,72,Holy See,-0.69
54,172,Venezuela,-0.69
59,148,Somalia,-0.68
60,130,Philippines,-0.68
61,129,Peru,-0.68
62,63,Germany,-0.68
63,93,Latvia,-0.68
64,52,Equatorial Guinea,-0.68
71,43,Czechia,-0.67
67,76,India,-0.67
72,45,Diamond Princess,-0.67
70,10,Azerbaijan,-0.67
65,115,Namibia,-0.67
68,38,Costa Rica,-0.67
66,77,Indonesia,-0.67
69,18,Benin,-0.67
80,21,Bosnia and Herzegovina,-0.66
79,9,Austria,-0.66
77,150,Spain,-0.66
78,125,Pakistan,-0.66
75,16,Belgium,-0.66
74,158,Tanzania,-0.66
73,67,Guatemala,-0.66
76,128,Paraguay,-0.66
85,20,Bolivia,-0.65
81,131,Poland,-0.65
82,110,Monaco,-0.65
83,61,Gambia,-0.65
84,74,Hungary,-0.65
93,86,Kazakhstan,-0.64
92,85,Jordan,-0.64
95,143,Serbia,-0.64
94,141,Saudi Arabia,-0.64
91,0,Afghanistan,-0.64
87,170,Uruguay,-0.64
89,159,Thailand,-0.64
88,109,Moldova,-0.64
90,134,Romania,-0.64
86,2,Algeria,-0.64
102,60,Gabon,-0.63
101,80,Ireland,-0.63
99,171,Uzbekistan,-0.63
100,169,United Kingdom,-0.63
97,122,North Macedonia,-0.63
96,108,Mexico,-0.63
98,8,Australia,-0.63
107,40,Croatia,-0.62
103,119,Nicaragua,-0.62
104,73,Honduras,-0.62
105,153,Suriname,-0.62
106,136,Rwanda,-0.62
110,35,Colombia,-0.61
111,6,Argentina,-0.61
108,33,Chile,-0.61
109,37,Congo (Kinshasa),-0.61
119,68,Guinea,-0.6
118,22,Brazil,-0.6
117,99,Luxembourg,-0.6
116,135,Russia,-0.6
120,29,Cameroon,-0.6
114,132,Portugal,-0.6
113,3,Andorra,-0.6
112,127,Papua New Guinea,-0.6
115,34,China,-0.6
121,126,Panama,-0.59
122,163,Tunisia,-0.59
123,161,Togo,-0.59
124,87,Kenya,-0.59
125,30,Canada,-0.59
126,25,Burkina Faso,-0.59
127,113,Morocco,-0.59
128,11,Bahamas,-0.59
129,14,Barbados,-0.59
130,41,Cuba,-0.58
131,162,Trinidad and Tobago,-0.58
133,121,Nigeria,-0.57
132,49,Ecuador,-0.57
134,5,Antigua and Barbuda,-0.56
135,165,US,-0.56
136,55,Eswatini,-0.56
137,149,South Africa,-0.55
138,32,Chad,-0.55
139,98,Lithuania,-0.55
140,81,Israel,-0.55
142,71,Haiti,-0.54
143,4,Angola,-0.54
141,57,Fiji,-0.54
144,176,Zimbabwe,-0.53
145,27,Cabo Verde,-0.53
146,48,Dominican Republic,-0.52
147,160,Timor-Leste,-0.52
148,118,New Zealand,-0.5
149,112,Montenegro,-0.5
152,39,Cote d'Ivoire,-0.49
150,101,Madagascar,-0.49
151,91,Kyrgyzstan,-0.49
154,116,Nepal,-0.48
153,107,Mauritius,-0.48
155,17,Belize,-0.47
156,64,Ghana,-0.47
157,167,Ukraine,-0.47
158,166,Uganda,-0.46
159,46,Djibouti,-0.45
160,164,Turkey,-0.45
161,120,Niger,-0.44
162,51,El Salvador,-0.44
163,175,Zambia,-0.43
164,96,Libya,-0.41
165,114,Mozambique,-0.4
166,156,Syria,-0.4
167,47,Dominica,-0.38
168,53,Eritrea,-0.38
169,92,Laos,-0.36
170,69,Guinea-Bissau,-0.33
171,137,Saint Kitts and Nevis,-0.33
172,66,Grenada,-0.32
173,104,Mali,-0.27
174,89,Kosovo,-0.25
175,26,Burma,-0.19
