,Date,Italy,Daily,Percent Change
0,2020-01-22,0,0,0.0
1,2020-01-23,0,0,0.0
2,2020-01-24,0,0,0.0
3,2020-01-25,0,0,0.0
4,2020-01-26,0,0,0.0
5,2020-01-27,0,0,0.0
6,2020-01-28,0,0,0.0
7,2020-01-29,0,0,0.0
8,2020-01-30,0,0,0.0
9,2020-01-31,0,0,0.0
10,2020-02-01,0,0,0.0
11,2020-02-02,0,0,0.0
12,2020-02-03,0,0,0.0
13,2020-02-04,0,0,0.0
14,2020-02-05,0,0,0.0
15,2020-02-06,0,0,0.0
16,2020-02-07,0,0,0.0
17,2020-02-08,0,0,0.0
18,2020-02-09,0,0,0.0
19,2020-02-10,0,0,0.0
20,2020-02-11,0,0,0.0
21,2020-02-12,0,0,0.0
22,2020-02-13,0,0,0.0
23,2020-02-14,0,0,0.0
24,2020-02-15,0,0,0.0
25,2020-02-16,0,0,0.0
26,2020-02-17,0,0,0.0
27,2020-02-18,0,0,0.0
28,2020-02-19,0,0,0.0
29,2020-02-20,0,0,0.0
30,2020-02-21,1,1,0.0
31,2020-02-22,2,1,1.0
32,2020-02-23,3,1,0.5
33,2020-02-24,7,4,1.3333333333333333
34,2020-02-25,10,3,0.42857142857142855
35,2020-02-26,12,2,0.2
36,2020-02-27,17,5,0.4166666666666667
37,2020-02-28,21,4,0.23529411764705882
38,2020-02-29,29,8,0.38095238095238093
39,2020-03-01,34,5,0.1724137931034483
40,2020-03-02,52,18,0.5294117647058824
41,2020-03-03,79,27,0.5192307692307693
42,2020-03-04,107,28,0.35443037974683544
43,2020-03-05,148,41,0.38317757009345793
44,2020-03-06,197,49,0.3310810810810811
45,2020-03-07,233,36,0.18274111675126903
46,2020-03-08,366,133,0.5708154506437768
47,2020-03-09,463,97,0.2650273224043716
48,2020-03-10,631,168,0.36285097192224625
49,2020-03-11,827,196,0.31061806656101426
50,2020-03-12,827,0,0.0
51,2020-03-13,1266,439,0.5308343409915357
52,2020-03-14,1441,175,0.1382306477093207
53,2020-03-15,1809,368,0.25537820957668284
54,2020-03-16,2158,349,0.19292426755113323
55,2020-03-17,2503,345,0.15987025023169602
56,2020-03-18,2978,475,0.18977227327207352
57,2020-03-19,3405,427,0.14338482202820685
58,2020-03-20,4032,627,0.1841409691629956
59,2020-03-21,4825,793,0.1966765873015873
60,2020-03-22,5476,651,0.13492227979274612
61,2020-03-23,6077,601,0.10975164353542732
62,2020-03-24,6820,743,0.12226427513575777
63,2020-03-25,7503,683,0.1001466275659824
64,2020-03-26,8215,712,0.09489537518326004
65,2020-03-27,9134,919,0.1118685331710286
66,2020-03-28,10023,889,0.09732866214144953
