Date,Price,Open,High,Low,Vol.,Change %,Timestamp
2020-3-20,17171.55,17209.93,17628.87,17047.73,1500000000,1.85,1584662400
2020-3-19,16859.82,16814.38,17240.13,16438.49,1270000000,2.27,1584576000
2020-3-18,16486.21,16372.27,16785.57,16149.48,992760000,-1.17,1584489600
2020-3-17,16680.56,16850.34,17238.59,16065.72,1400000000,1.96,1584403200
2020-3-16,16360.04,17130.96,17130.96,15498.19,1540000000,-6.06,1584316800
2020-3-13,17415.07,16562.71,19056.77,16562.71,1750000000,6.93,1584057600
2020-3-12,16286.37,19128.7,19128.7,16286.37,1910000000,-16.4,1583971200
2020-3-11,19480.78,19769.55,19998.61,19226.41,1200000000,0.22,1583884800
2020-3-10,19438.13,20294.57,20826.86,19363.45,1460000000,-3.32,1583798400
2020-3-9,20105.88,22428.56,22428.56,19966.63,1640000000,-10.75,1583712000
2020-3-6,22526.7,22730.62,22889.48,22335.89,1270000000,-3.4,1583452800
2020-3-5,23320.2,23868.41,23890.51,23133,1050000000,-1.92,1583366400
2020-3-4,23777.79,23619.02,24074.98,23360.18,1060000000,0.64,1583280000
2020-3-3,23625.54,24002.98,24239.6,23546.66,1040000000,0.47,1583193600
2020-3-2,23514.49,24273.12,24297.15,22968.63,1230000000,-1.64,1583107200
2020-2-28,23907.05,23986.2,24274.77,23629.09,1320000000,-3.47,1582848000
2020-2-27,24767.22,24984.06,25073.31,24432.7,991500000,-2.67,1582761600
2020-2-26,25445.97,24961.41,25620.48,24611.58,981400000,1.4,1582675200
2020-2-25,25094.36,25602.27,25650.56,25042.36,910200000,-1.34,1582588800
2020-2-24,25434.49,25952.55,26017.68,25260.93,1400000000,-5.5,1582502400
2020-2-21,26915.99,27156.59,27295.48,26816.93,932110000,-1.24,1582243200
2020-2-20,27255.25,27618.73,27622.87,27255.25,1000000000,-1.52,1582156800
2020-2-19,27675.06,27531.98,27679.37,27455.98,718510000,1.02,1582070400
2020-2-18,27394.27,27163.81,27567.78,27156.07,1130000000,0.36,1581984000
2020-2-17,27294.7,27109.37,27294.7,27052.84,608280000,1.09,1581897600
2020-2-14,27000.45,27065.47,27116.91,26972.26,594870000,-0.02,1581638400
2020-2-13,27004.71,26885.92,27004.71,26690.45,735620000,0.1,1581552000
2020-2-12,26977.06,26834.79,27007.52,26834.79,687170000,0.71,1581465600
2020-2-11,26786.6,26695.66,26857.13,26613.2,668930000,0.79,1581379200
2020-2-10,26575.5,26514.4,26667.7,26469.07,571770000,0.08,1581292800
2020-2-7,26553.56,26560.65,26615.05,26441.15,663480000,-0.11,1581033600
2020-2-6,26582.33,26453.25,26610.84,26442.53,859070000,0.94,1580947200
2020-2-5,26333.48,25908.1,26375.98,25827.41,713280000,1.55,1580860800
2020-2-4,25932.51,25651.09,25992.32,25617.62,671780000,1.62,1580774400
2020-2-3,25518.21,25348.79,25527.07,25272.73,504960000,0.89,1580688000
2020-1-31,25293.57,25957.11,25960.9,25270.82,852460000,-2.24,1580428800
2020-1-30,25873.17,26007.38,26094.14,25782.49,649280000,-1.58,1580342400
2020-1-29,26287.6,26164.04,26314.88,26081.82,589440000,0.6,1580256000
2020-1-28,26130.14,25647.19,26130.14,25535.53,651660000,2.43,1580169600
2020-1-27,25510.26,25839.06,26098.22,25480.88,698860000,-2.32,1580083200
2020-1-24,26115.61,25999.9,26237.24,25999.9,592270000,1.01,1579824000
2020-1-23,25854.82,25879.16,26055.31,25763.6,550480000,-0.06,1579737600
2020-1-22,25870.59,26062.74,26076.78,25844.68,622190000,-0.55,1579651200
2020-1-21,26014.82,26037.48,26037.48,25808.47,533930000,-0.65,1579564800
2020-1-20,26184.78,26202.15,26265.83,26147.13,455530000,-0.44,1579478400
2020-1-17,26300.93,26188.38,26326.24,26167.59,563350000,0.83,1579219200
2020-1-16,26084.98,26012.44,26111.83,25903.88,513050000,0.67,1579132800
2020-1-15,25912.01,26055,26083.38,25866.7,676670000,-0.63,1579046400
2020-1-14,26077.11,26086.23,26099.5,25855.84,656980000,0.11,1578960000
2020-1-13,26047.91,26206.49,26206.49,25978.3,1340000000,-0.42,1578873600
2020-1-10,26156.61,26202.16,26276.39,26099.22,770290000,0.01,1578614400
2020-1-9,26152.96,26079.7,26204.1,26074.41,689570000,0.89,1578528000
2020-1-8,25923.15,25626.9,25985.68,25551.78,649560000,0.44,1578441600
2020-1-7,25810.51,25767.62,25879.66,25724.32,433030000,0.6,1578355200
2020-1-6,25656.19,25671.18,25698.3,25323.56,517190000,-0.61,1578268800
2020-1-3,25813.04,25855.77,25895.08,25623.15,638990000,-0.64,1578009600
2020-1-2,25980.07,25735.14,26005.42,25712.12,649770000,1.37,1577923200
2019-12-30,25628.94,25847.43,25866.31,25628.94,378500000,-1.01,1577664000
2019-12-27,25890.37,26000.77,26025.84,25866.68,373260000,-0.52,1577404800
2019-12-23,26025.22,26046.52,26066.81,25974.45,323200000,-0.38,1577059200
2019-12-20,26124.34,25962.33,26124.34,25962.33,924870000,1.12,1576800000
2019-12-19,25835.16,25778.86,25837.76,25708.72,492010000,0.29,1576713600
2019-12-18,25761.25,25795.21,25881.22,25760.8,441080000,-0.08,1576627200
2019-12-17,25781.18,25685.44,25860.73,25630.87,435610000,0.42,1576540800
2019-12-16,25673.44,25588.95,25701.3,25536.75,385710000,0.77,1576454400
2019-12-13,25478.22,25893.83,25895.56,25420.78,650180000,-0.31,1576195200
2019-12-12,25556.29,25398.09,25658.51,25327.33,551160000,0.92,1576108800
2019-12-11,25322.14,25264.63,25368.88,25201.2,441150000,0.13,1576022400
2019-12-10,25288.72,25102.68,25308.81,24945.65,469200000,0.66,1575936000
2019-12-9,25123.87,25390.98,25406.12,25015.6,457090000,-0.93,1575849600
2019-12-6,25359.14,25235.01,25392.2,25132.11,469480000,0.83,1575590400
2019-12-5,25149.4,25227.05,25374.77,25124.42,459120000,-0.23,1575504000
2019-12-4,25206.88,24896.54,25218.16,24891.97,552430000,1.25,1575417600
2019-12-3,24895.19,25018.91,25179.75,24740.49,753390000,-0.05,1575331200
2019-12-2,24907.12,25499.85,25622.75,24879.76,632920000,-2.19,1575244800
2019-11-29,25464.05,25465.36,25628.95,25404.17,541910000,-0.31,1574985600
2019-11-28,25544.01,25592.44,25671.32,25452.36,375820000,-0.49,1574899200
2019-11-27,25669.57,25767.48,25824.39,25637.64,518720000,-0.09,1574812800
2019-11-26,25692.72,25569.7,25707.1,25467.72,661600000,0.59,1574726400
2019-11-25,25543.02,25472.13,25575.25,25471.45,414550000,0.81,1574640000
2019-11-22,25337.61,25383.31,25540.63,25333.1,508300000,-0.01,1574380800
2019-11-21,25340.48,25258.65,25430.01,25155.81,632800000,-0.31,1574294400
2019-11-20,25418.34,25287.43,25448.66,25209.24,556450000,0.1,1574208000
2019-11-19,25393.66,25585.78,25731.87,25365.27,528350000,-0.52,1574121600
2019-11-18,25526.14,25646.54,25687.24,25412.49,510930000,-0.53,1574035200
2019-11-15,25661.79,25665.84,25700.69,25524.98,528550000,0.47,1573776000
2019-11-14,25542.26,25641.68,25704.37,25539.79,576390000,-0.41,1573689600
2019-11-13,25646.51,25758.47,25788.99,25489.83,568650000,-0.78,1573603200
2019-11-12,25848,25591.14,25888.85,25586.76,648710000,1.27,1573516800
2019-11-11,25523.93,25469.6,25546.56,25420.54,502990000,-0.1,1573430400
2019-11-8,25549.63,25501.28,25583.28,25374.01,781390000,0.11,1573171200
2019-11-7,25521.24,25504.23,25604.14,25454.53,674580000,0.51,1573084800
2019-11-6,25391.9,25390.53,25428.78,25319.4,586920000,0.05,1572998400
2019-11-5,25380.17,25356.08,25446.77,25298.94,656790000,0.24,1572912000
2019-11-4,25319.07,25036.27,25355.19,25029.86,614910000,1.58,1572825600
2019-11-1,24926.35,24712.19,24939.13,24706.89,364680000,1.04,1572566400
2019-10-31,24670.06,24626.63,24751.49,24548.47,535360000,0.23,1572480000
2019-10-30,24612.29,24687.3,24763.79,24432.51,544700000,-0.21,1572393600
2019-10-29,24663.2,24686.47,24728.98,24592.79,471930000,-0.06,1572307200
2019-10-28,24676.88,24578.67,24728.86,24503.29,357790000,0.37,1572220800
2019-10-25,24586.96,24529.15,24586.96,24444.24,316240000,0.36,1571961600
2019-10-24,24498.91,24430.44,24523.16,24376.43,507680000,0.7,1571875200
2019-10-23,24328.03,24362.67,24429,24268.12,469440000,-0.6,1571788800
2019-10-22,24475.38,24478.96,24512.03,24335.92,446700000,0.11,1571702400
2019-10-21,24449.04,24325.17,24468.15,24324.2,490900000,0.64,1571616000
2019-10-18,24294.21,24383.97,24434.47,24269.11,545200000,-0.24,1571356800
2019-10-17,24353.71,24346.47,24636.8,24342.31,606620000,-0.16,1571270400
2019-10-16,24391.65,24346.05,24478.73,24246.94,702830000,0.3,1571184000
2019-10-15,24318.88,24200.62,24356.69,24126.19,600040000,1.11,1571097600
2019-10-14,24052.36,24056.26,24105.69,23938.83,387930000,-0.25,1571011200
