,Date,Total Cases,Daily Cases,Percent Change
0,2020-01-22,548,0,0.0
1,2020-01-23,643,95,0.17335766423357665
2,2020-01-24,920,277,0.4307931570762053
3,2020-01-25,1406,486,0.5282608695652173
4,2020-01-26,2075,669,0.47581792318634425
5,2020-01-27,2877,802,0.38650602409638557
6,2020-01-28,5509,2632,0.9148418491484185
7,2020-01-29,6087,578,0.10491922308948992
8,2020-01-30,8141,2054,0.337440446853951
9,2020-01-31,9802,1661,0.2040289890676821
10,2020-02-01,11891,2089,0.21311977147520914
11,2020-02-02,16630,4739,0.3985367084349508
12,2020-02-03,19716,3086,0.18556825015033074
13,2020-02-04,23707,3991,0.20242442686143233
14,2020-02-05,27440,3733,0.15746404015691567
15,2020-02-06,30587,3147,0.11468658892128279
16,2020-02-07,34110,3523,0.11517965148592539
17,2020-02-08,36814,2704,0.07927294048666081
18,2020-02-09,39829,3015,0.08189819090563373
19,2020-02-10,42354,2525,0.06339601797685104
20,2020-02-11,44386,2032,0.04797657836331869
21,2020-02-12,44759,373,0.008403550669129905
22,2020-02-13,59895,15136,0.3381666257065618
23,2020-02-14,66358,6463,0.10790550129393105
24,2020-02-15,68413,2055,0.03096838361614274
25,2020-02-16,70513,2100,0.03069592036601231
26,2020-02-17,72434,1921,0.02724320338093685
27,2020-02-18,74211,1777,0.024532678024132313
28,2020-02-19,74619,408,0.005497837247847354
29,2020-02-20,75077,458,0.006137846929066324
30,2020-02-21,75550,473,0.006300198462911411
31,2020-02-22,77001,1451,0.019205823957643944
32,2020-02-23,77022,21,0.0002727237308606382
33,2020-02-24,77241,219,0.0028433434603100413
34,2020-02-25,77754,513,0.006641550471899639
35,2020-02-26,78166,412,0.005298762764616612
36,2020-02-27,78600,434,0.005552286160223115
37,2020-02-28,78928,328,0.004173027989821883
38,2020-02-29,79356,428,0.005422663693492803
39,2020-03-01,79932,576,0.007258430364433691
40,2020-03-02,80136,204,0.002552169343942351
41,2020-03-03,80261,125,0.0015598482579614655
42,2020-03-04,80386,125,0.0015574189207709847
43,2020-03-05,80537,151,0.0018784365436767597
44,2020-03-06,80690,153,0.0018997479419397296
45,2020-03-07,80770,80,0.0009914487544925021
46,2020-03-08,80823,53,0.0006561842268168874
47,2020-03-09,80860,37,0.00045779048043255015
48,2020-03-10,80887,27,0.00033391046252782586
49,2020-03-11,80921,34,0.00042033948594953456
50,2020-03-12,80932,11,0.0001359350477626327
51,2020-03-13,80945,13,0.0001606286759254683
52,2020-03-14,80977,32,0.00039533016245598865
53,2020-03-15,81003,26,0.00032107882485150104
54,2020-03-16,81033,30,0.00037035665345727935
55,2020-03-17,81058,25,0.0003085162834894426
56,2020-03-18,81102,44,0.0005428211897653533
57,2020-03-19,81156,54,0.0006658282163201894
58,2020-03-20,81250,94,0.0011582630982305683
59,2020-03-21,81305,55,0.0006769230769230769
60,2020-03-22,81435,130,0.0015989176557407293
61,2020-03-23,81498,63,0.0007736231350156566
62,2020-03-24,81591,93,0.0011411322977250976
63,2020-03-25,81661,70,0.0008579377627434398
64,2020-03-26,81782,121,0.0014817354673589596
65,2020-03-27,81897,115,0.0014061773984495366
66,2020-03-28,81999,102,0.0012454668669182021
